price,propertyType,operation,size,rooms,bathrooms,municipality,district,neighborhood,latitude,longitude,status,newDevelopment,parkingSpace,priceByArea,floor,hasLift
1287000,chalet,sale,280.0,6.0,4.0,Málaga,Este,Malagueta - Monte Sancha,36.7225692,-4.4064818,good,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",4596.0,,
538000,flat,sale,88.0,3.0,2.0,Málaga,Martiricos - La Roca,Martiricos - La Roca,36.7287114,-4.4285266,good,False,,6114.0,,1.0
290000,flat,sale,99.0,2.0,1.0,Málaga,Centro,Cristo de la Epidemia,36.7266977,-4.4160612,good,False,,2929.0,bj,1.0
650000,flat,sale,120.0,4.0,2.0,Málaga,Este,Malagueta - Monte Sancha,36.7207543,-4.4082164,good,False,,5417.0,1,1.0
1800000,chalet,sale,407.0,7.0,5.0,Málaga,Este,Limonar,36.727358,-4.4004099,good,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",4423.0,,
435000,flat,sale,86.0,2.0,2.0,Málaga,Martiricos - La Roca,Martiricos - La Roca,36.7311579,-4.4275636,good,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",5058.0,26,1.0
1065000,chalet,sale,181.0,6.0,2.0,Málaga,Este,Pedregalejo - Morlaco,36.7245914,-4.371706,good,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",5884.0,,
526000,flat,sale,145.0,5.0,2.0,Málaga,Centro,Ensanche Centro - Soho,36.7117476,-4.425652,renew,False,,3628.0,6,1.0
690000,flat,sale,236.0,4.0,2.0,Málaga,Teatinos,El Consul - El Romeral,36.7271383,-4.4851191,good,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",2924.0,1,1.0
345000,flat,sale,54.0,2.0,1.0,Málaga,Centro,La Goleta - San Felipe Neri,36.7257192,-4.4239796,good,False,,6389.0,2,0.0
449000,flat,sale,84.0,2.0,2.0,Málaga,Centro,La Merced,36.7263135,-4.4195323,good,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': 39000.0}",5345.0,1,1.0
780000,chalet,sale,184.0,5.0,3.0,Málaga,Este,Limonar,36.7244378,-4.4017057,good,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",4239.0,,
390000,chalet,sale,175.0,3.0,2.0,Málaga,Carretera de Cádiz,Huelin,36.7047936,-4.4400262,good,False,,2229.0,,
195000,flat,sale,106.0,3.0,2.0,Málaga,Bailén - Miraflores,San Alberto - La Alcubilla - Florisol,36.7294989,-4.4493492,good,False,,1840.0,1,1.0
165000,flat,sale,80.0,2.0,1.0,Málaga,Bailén - Miraflores,San Alberto - La Alcubilla - Florisol,36.731472,-4.4506116,good,False,,2063.0,bj,1.0
550000,flat,sale,140.0,4.0,2.0,Málaga,Centro,Centro Histórico,36.7193644,-4.4259831,renew,False,,3929.0,4,1.0
690000,flat,sale,130.0,3.0,2.0,Málaga,Este,Malagueta - Monte Sancha,36.7186415,-4.4114562,renew,False,,5308.0,9,1.0
