price,propertyType,operation,size,rooms,bathrooms,municipality,district,neighborhood,latitude,longitude,status,newDevelopment,priceByArea,floor,hasLift,hasParkingSpace,isParkingSpaceIncludedInPrice
1000,flat,rent,49.0,1.0,1.0,Málaga,Cruz de Humilladero,Carranque - Haza Cuevas,36.7208929,-4.441973,good,False,20.0,5.0,1.0,False,False
1600,flat,rent,90.0,3.0,2.0,Málaga,Centro,Perchel sur - El Bulto,36.70855,-4.432787,good,False,18.0,5.0,1.0,True,True
1250,flat,rent,78.0,2.0,2.0,Málaga,Carretera de Cádiz,La Princesa,36.70594,-4.4363898,good,False,16.0,5.0,1.0,False,False
1200,flat,rent,70.0,2.0,1.0,Málaga,Centro,La Goleta - San Felipe Neri,36.7238007,-4.4208605,good,False,17.0,1.0,0.0,False,False
1500,flat,rent,70.0,3.0,1.0,Málaga,Cruz de Humilladero,Carranque - Haza Cuevas,36.719443,-4.4387734,good,False,21.0,2.0,0.0,False,False
1190,flat,rent,60.0,2.0,1.0,Málaga,Centro,La Merced,36.7238487,-4.4199689,good,False,20.0,1.5,0.0,False,False
1200,flat,rent,60.0,2.0,1.0,Málaga,Centro,La Victoria,36.7240108,-4.4128312,good,False,20.0,1.0,1.0,False,False
1200,flat,rent,70.0,2.0,1.0,Málaga,Centro,Centro Histórico,36.723312,-4.4194047,good,False,17.0,1.0,1.0,False,False
1100,flat,rent,82.0,2.0,2.0,Málaga,Bailén - Miraflores,Victoria Eugenia,36.7293789,-4.4359482,good,False,13.0,1.0,1.0,True,True
1400,flat,rent,100.0,3.0,2.0,Málaga,Carretera de Cádiz,Finca el Pato - Torre del Río,36.6839526,-4.4535382,good,False,14.0,5.0,1.0,True,True
1200,flat,rent,117.0,2.0,2.0,Málaga,Centro,Perchel norte,36.7206472,-4.4315706,good,False,10.0,6.0,1.0,True,True
900,penthouse,rent,90.0,1.0,1.0,Málaga,Centro,Perchel sur - El Bulto,36.7166406,-4.426262,good,False,10.0,6.0,1.0,False,False
2300,flat,rent,151.0,3.0,2.0,Málaga,Centro,Ensanche Centro - Soho,36.7168862,-4.4234492,good,False,15.0,6.0,1.0,True,True
1800,studio,rent,31.0,0.0,1.0,Málaga,Centro,Centro Histórico,36.722657,-4.4213505,good,False,58.0,0.0,0.0,False,False
1600,flat,rent,80.0,3.0,1.0,Málaga,Bailén - Miraflores,Victoria Eugenia,36.7307562,-4.4413514,good,False,20.0,11.0,0.0,False,False
950,flat,rent,72.0,3.0,1.0,Málaga,Carretera de Cádiz,Girón - Las Delicias - Pacífico,36.6985499,-4.4419718,good,False,13.0,1.0,0.0,False,False
1500,flat,rent,80.0,2.0,1.0,Málaga,Centro,Centro Histórico,36.7202152,-4.4169137,good,False,19.0,2.0,1.0,False,False
2000,flat,rent,126.0,2.0,2.0,Málaga,Centro,Centro Histórico,36.7202522,-4.4210491,good,False,16.0,5.0,1.0,False,False
1500,flat,rent,90.0,3.0,2.0,Málaga,Centro,Perchel norte,36.7186155,-4.4304224,good,False,17.0,4.0,1.0,False,False
1100,flat,rent,81.0,2.0,2.0,Málaga,Centro,Perchel norte,36.7189969,-4.4309092,good,False,14.0,2.0,1.0,False,False
1300,chalet,rent,143.0,4.0,2.0,Málaga,Bailén - Miraflores,San Alberto - La Alcubilla - Florisol,36.7293281,-4.4514374,good,False,9.0,0.0,0.0,False,False
1250,flat,rent,78.0,2.0,2.0,Málaga,Carretera de Cádiz,Huelin,36.7060096,-4.4377969,good,False,16.0,5.0,1.0,False,False
1200,flat,rent,95.0,3.0,1.0,Málaga,Carretera de Cádiz,La Luz,36.6963085,-4.4526127,good,False,13.0,6.0,1.0,False,False
1200,flat,rent,68.0,3.0,1.0,Málaga,Carretera de Cádiz,Los Guindos - Parque Mediterráneo - Santa Paula,36.6962355,-4.4495801,good,False,18.0,5.0,1.0,False,False
1260,flat,rent,95.0,3.0,2.0,Málaga,Cruz de Humilladero,Carranque - Haza Cuevas,36.7203579,-4.4450263,good,False,13.0,6.0,1.0,True,True
900,flat,rent,53.0,1.0,1.0,Málaga,Este,Pedregalejo - Morlaco,36.7218224,-4.378737,good,False,17.0,1.0,1.0,False,False
1850,flat,rent,83.0,3.0,2.0,Málaga,Martiricos - La Roca,Martiricos - La Roca,36.7306187,-4.4286936,good,False,22.0,19.0,1.0,True,True
1500,duplex,rent,54.0,1.0,1.0,Málaga,Centro,La Goleta - San Felipe Neri,36.7258386,-4.4235303,good,False,28.0,2.0,0.0,False,False
1900,flat,rent,85.0,2.0,2.0,Málaga,Centro,La Trinidad,36.7285218,-4.4301589,good,False,22.0,27.0,1.0,True,True
3300,flat,rent,120.0,1.0,2.0,Málaga,Carretera de Cádiz,Pacífico,36.6851392,-4.4462154,newdevelopment,True,28.0,4.0,1.0,True,True
8250,flat,rent,255.0,3.0,3.0,Málaga,Carretera de Cádiz,Pacífico,36.6851392,-4.4462154,newdevelopment,True,32.0,12.0,1.0,True,True
15000,flat,rent,486.0,4.0,4.0,Málaga,Carretera de Cádiz,Pacífico,36.6851392,-4.4462154,newdevelopment,True,31.0,19.0,1.0,True,True
1150,flat,rent,67.0,2.0,1.0,Málaga,Bailén - Miraflores,Los Castillejos - La Trinidad,36.721496,-4.4351365,good,False,17.0,3.0,1.0,True,True
2300,duplex,rent,35.0,2.0,1.0,Málaga,Este,Pedregalejo - Morlaco,36.7223739,-4.3797799,good,False,66.0,2.0,1.0,False,False
1400,flat,rent,78.0,2.0,2.0,Málaga,Carretera de Cádiz,Pacífico,36.6995167,-4.4393658,good,False,18.0,4.0,1.0,True,True
890,studio,rent,35.0,0.0,1.0,Málaga,Centro,Centro Histórico,36.7167685,-4.4206944,good,False,25.0,5.0,1.0,False,False
2100,flat,rent,120.0,3.0,2.0,Málaga,Carretera de Cádiz,Pacífico,36.6945408,-4.4406797000000005,good,False,18.0,3.0,1.0,True,True
9000,flat,rent,172.0,3.0,3.0,Málaga,Carretera de Cádiz,Pacífico,36.6849443,-4.4465818,good,False,52.0,15.0,1.0,True,True
1000,flat,rent,60.0,1.0,1.0,Málaga,Bailén - Miraflores,Los Castillejos - La Trinidad,36.7229464,-4.4408474,good,False,17.0,0.0,0.0,False,False
31900,chalet,rent,712.0,3.0,4.0,Málaga,Este,El Palo,36.729771,-4.3524368,good,False,45.0,0.0,0.0,True,True
1800,penthouse,rent,90.0,1.0,1.0,Málaga,Este,Cerrado de Calderón - Hacienda Paredes,36.7314354,-4.3819895,good,False,20.0,4.0,1.0,True,True
1500,flat,rent,112.0,3.0,2.0,Málaga,Teatinos,El Consul - El Romeral,36.7241055,-4.4763846,good,False,13.0,6.0,1.0,True,True
1900,flat,rent,48.0,1.0,1.0,Málaga,Centro,La Victoria,36.723796,-4.415712,good,False,40.0,1.0,0.0,False,False
2200,flat,rent,80.0,2.0,1.0,Málaga,Este,Malagueta - Monte Sancha,36.7172179,-4.4081433,good,False,28.0,12.0,1.0,False,False
890,flat,rent,75.0,3.0,1.0,Málaga,Ciudad Jardín,Huerta Nueva - Jardín de Málaga,36.7485718,-4.4205617,good,False,12.0,11.0,1.0,False,False
1500,flat,rent,125.0,3.0,2.0,Málaga,Este,El Palo,36.7239052,-4.351075,good,False,12.0,1.0,1.0,True,True
1300,flat,rent,90.0,3.0,2.0,Málaga,Este,El Palo,36.7196715,-4.3555996,good,False,14.0,8.0,1.0,True,True
4800,flat,rent,160.0,2.0,2.0,Málaga,Carretera de Cádiz,Pacífico,36.6851392,-4.4462154,good,False,30.0,3.0,1.0,True,True
1340,flat,rent,76.0,2.0,2.0,Málaga,Puerto de la Torre,El Atabal,36.7322632,-4.4627992,good,False,18.0,3.0,1.0,True,True
1700,flat,rent,102.0,3.0,2.0,Málaga,Centro,La Victoria,36.7254691,-4.4156909,good,False,17.0,4.0,1.0,False,False
1300,flat,rent,70.0,2.0,2.0,Málaga,Centro,Perchel sur - El Bulto,36.7134852,-4.4265481,good,False,19.0,6.0,1.0,False,False
1040,flat,rent,30.0,1.0,1.0,Málaga,Centro,El Ejido,36.7267952,-4.4212851,good,False,35.0,10.0,1.0,False,False
1200,flat,rent,70.0,2.0,1.0,Málaga,Centro,La Goleta - San Felipe Neri,36.723914,-4.4219905,good,False,17.0,1.0,0.0,False,False
1400,flat,rent,80.0,2.0,2.0,Málaga,Este,El Palo,36.7216404,-4.3554498,good,False,18.0,0.0,0.0,True,True
1800,flat,rent,75.0,1.0,1.0,Málaga,Este,Limonar,36.7232878,-4.3976025,good,False,24.0,4.0,1.0,False,False
1300,flat,rent,90.0,3.0,1.0,Málaga,Bailén - Miraflores,Los Castillejos - La Trinidad,36.725129,-4.4320148,good,False,14.0,0.0,1.0,False,False
1495,flat,rent,80.0,2.0,1.0,Málaga,Centro,Centro Histórico,36.7201925,-4.4203932,good,False,19.0,4.0,1.0,True,False
4200,flat,rent,122.0,2.0,3.0,Málaga,Centro,La Merced,36.7240308,-4.4194447,good,False,34.0,2.0,0.0,False,False
730,studio,rent,30.0,0.0,1.0,Málaga,Centro,Centro Histórico,36.724973,-4.4190644,good,False,24.0,1.0,1.0,False,False
1140,flat,rent,70.0,2.0,2.0,Málaga,Centro,Centro Histórico,36.7216796,-4.4178808,good,False,16.0,2.0,1.0,False,False
2000,duplex,rent,101.0,3.0,2.0,Málaga,Centro,Centro Histórico,36.7213334,-4.4204466,good,False,20.0,2.0,0.0,False,False
1500,chalet,rent,75.0,3.0,1.0,Málaga,Centro,El Molinillo - Capuchinos,36.7310814,-4.4238087,good,False,20.0,0.0,0.0,False,False
3000,flat,rent,80.0,2.0,2.0,Málaga,Este,Malagueta - Monte Sancha,36.7202956,-4.4087852,good,False,38.0,4.0,1.0,False,False
2490,flat,rent,115.0,3.0,2.0,Málaga,Centro,Centro Histórico,36.723305,-4.4230274,good,False,22.0,3.0,1.0,False,False
