price,propertyType,operation,size,rooms,bathrooms,municipality,district,neighborhood,latitude,longitude,status,newDevelopment,priceByArea,floor,hasLift,hasParkingSpace,isParkingSpaceIncludedInPrice
1800,2,1,90.0,1.0,1.0,0,0,21,36.7314354,-4.3819895,0,0,20.0,4.0,1.0,1,1
1500,1,1,112.0,3.0,2.0,0,6,15,36.7241055,-4.4763846,0,0,13.0,6.0,1.0,1,1
1900,1,1,48.0,1.0,1.0,0,2,23,36.723796,-4.415712,0,0,40.0,1.0,0.0,0,0
2200,1,1,80.0,2.0,1.0,0,0,3,36.7172179,-4.4081433,0,0,28.0,12.0,1.0,0,0
890,1,1,75.0,3.0,1.0,0,9,49,36.7485718,-4.4205617,0,0,12.0,11.0,1.0,0,0
1500,1,1,125.0,3.0,2.0,0,0,26,36.7239052,-4.351075,0,0,12.0,1.0,1.0,1,1
1300,1,1,90.0,3.0,2.0,0,0,26,36.7196715,-4.3555996,0,0,14.0,8.0,1.0,1,1
4800,1,1,160.0,2.0,2.0,0,1,19,36.6851392,-4.4462154,0,0,30.0,3.0,1.0,1,1
1340,1,1,76.0,2.0,2.0,0,4,55,36.7322632,-4.4627992,0,0,18.0,3.0,1.0,1,1
1700,1,1,102.0,3.0,2.0,0,2,23,36.7254691,-4.4156909,0,0,17.0,4.0,1.0,0,0
1300,1,1,70.0,2.0,2.0,0,2,8,36.7134852,-4.4265481,0,0,19.0,6.0,1.0,0,0
1040,1,1,30.0,1.0,1.0,0,2,43,36.7267952,-4.4212851,0,0,35.0,10.0,1.0,0,0
1200,1,1,70.0,2.0,1.0,0,2,16,36.723914,-4.4219905,0,0,17.0,1.0,0.0,0,0
1400,1,1,80.0,2.0,2.0,0,0,26,36.7216404,-4.3554498,0,0,18.0,0.0,0.0,1,1
1800,1,1,75.0,1.0,1.0,0,0,9,36.7232878,-4.3976025,0,0,24.0,4.0,1.0,0,0
1300,1,1,90.0,3.0,1.0,0,7,25,36.725129,-4.4320148,0,0,14.0,0.0,1.0,0,0
1495,1,1,80.0,2.0,1.0,0,2,4,36.7201925,-4.4203932,0,0,19.0,4.0,1.0,1,0
4200,1,1,122.0,2.0,3.0,0,2,17,36.7240308,-4.4194447,0,0,34.0,2.0,0.0,0,0
730,3,1,30.0,0.0,1.0,0,2,4,36.724973,-4.4190644,0,0,24.0,1.0,1.0,0,0
1140,1,1,70.0,2.0,2.0,0,2,4,36.7216796,-4.4178808,0,0,16.0,2.0,1.0,0,0
2000,4,1,101.0,3.0,2.0,0,2,4,36.7213334,-4.4204466,0,0,20.0,2.0,0.0,0,0
1500,0,1,75.0,3.0,1.0,0,2,30,36.7310814,-4.4238087,0,0,20.0,0.0,0.0,0,0
3000,1,1,80.0,2.0,2.0,0,0,3,36.7202956,-4.4087852,0,0,38.0,4.0,1.0,0,0
2490,1,1,115.0,3.0,2.0,0,2,4,36.723305,-4.4230274,0,0,22.0,3.0,1.0,0,0
1299,1,1,40.0,1.0,1.0,0,1,1,36.7079489,-4.4308591,0,0,32.0,0.0,0.0,0,0
2000,1,1,52.0,1.0,1.0,0,6,15,36.721968,-4.4713876,0,0,38.0,0.0,0.0,0,0
3000,1,1,140.0,3.0,2.0,0,2,14,36.7137203,-4.4245995,0,0,21.0,1.0,1.0,0,0
1150,1,1,90.0,3.0,1.0,0,2,12,36.7300623,-4.4148926,0,0,13.0,3.0,1.0,0,0
1350,3,1,35.0,0.0,1.0,0,2,17,36.7247732,-4.4206555,0,0,39.0,2.0,0.0,0,0
1300,1,1,75.0,2.0,1.0,0,2,30,36.7297158,-4.4205252,0,0,17.0,4.0,0.0,0,0
1200,1,1,58.0,1.0,1.0,0,1,42,36.6982802,-4.4467691,0,0,21.0,2.0,1.0,0,0
2700,1,1,125.0,3.0,2.0,0,2,4,36.7222638,-4.4187359,0,0,22.0,1.0,0.0,0,0
1500,1,1,80.0,2.0,2.0,0,2,14,36.7168226,-4.4227836,0,0,19.0,3.0,1.0,0,0
1299,1,1,45.0,1.0,1.0,0,1,1,36.7092387,-4.4330892,0,0,29.0,0.0,0.0,0,0
1800,0,1,80.0,2.0,2.0,0,0,13,36.725494,-4.3729956,0,0,23.0,0.0,0.0,0,0
1399,1,1,72.0,1.0,1.0,0,2,23,36.7248614,-4.4158578,0,0,19.0,2.0,0.0,0,0
1299,1,1,40.0,1.0,1.0,0,2,8,36.7132947,-4.4273872,0,0,32.0,0.0,0.0,0,0
1399,1,1,79.0,2.0,2.0,0,3,45,36.7228699,-4.4514634,0,0,18.0,2.0,1.0,1,1
1350,1,1,82.0,1.0,1.0,0,2,22,36.7201239,-4.4283801,0,0,16.0,1.0,1.0,0,0
1199,4,1,40.0,0.0,1.0,0,0,13,36.7211332,-4.3726029,0,0,30.0,1.0,0.0,0,0
2650,1,1,80.0,1.0,2.0,0,1,19,36.6897276,-4.4429229,0,0,33.0,5.0,1.0,1,1
1890,1,1,60.0,1.0,1.0,0,2,4,36.7214523,-4.4216011,0,0,32.0,3.0,1.0,0,0
999,4,1,45.0,0.0,1.0,0,2,23,36.724802,-4.4142068,0,0,22.0,0.0,0.0,0,0
1450,1,1,115.0,4.0,2.0,0,1,1,36.7060096,-4.4377969,0,0,13.0,5.0,1.0,0,0
1000,1,1,35.0,1.0,1.0,0,2,4,36.720315,-4.4221593,0,0,29.0,4.0,1.0,0,0
1600,1,1,80.0,2.0,2.0,0,2,22,36.7206133,-4.4312265,0,0,20.0,5.0,1.0,1,1
2450,1,1,110.0,3.0,1.0,0,2,17,36.7260774,-4.4185615,0,0,22.0,4.0,1.0,0,0
2295,1,1,95.0,2.0,1.0,0,2,16,36.7256018,-4.4210022,0,0,24.0,0.0,1.0,0,0
2900,2,1,130.0,3.0,2.0,0,2,14,36.7142067,-4.4251781,0,0,22.0,10.0,1.0,0,0
1300,1,1,90.0,3.0,2.0,0,6,15,36.7223064,-4.4769758,0,0,14.0,2.0,1.0,1,1
1620,1,1,104.0,1.0,1.0,0,5,11,36.7311928,-4.4267533,0,0,16.0,17.0,1.0,0,0
1400,1,1,84.0,3.0,2.0,0,7,35,36.7236618,-4.4442175,0,0,17.0,10.0,1.0,0,0
1200,1,1,117.0,2.0,2.0,0,7,25,36.7223711,-4.4325006,0,0,10.0,6.0,1.0,1,1
3400,1,1,170.0,4.0,3.0,0,0,3,36.7194819,-4.4132364,0,0,20.0,7.0,1.0,0,0
1300,1,1,97.0,3.0,1.0,0,3,20,36.7154771,-4.4424729,0,0,13.0,3.0,1.0,0,0
2565,1,1,74.0,2.0,2.0,0,2,22,36.720573,-4.4316195,0,0,35.0,5.0,1.0,0,0
1500,1,1,84.0,5.0,2.0,0,3,5,36.7100122,-4.4420415,0,0,18.0,5.0,0.0,0,0
2800,1,1,181.0,3.0,2.0,0,0,9,36.7235657,-4.396566,0,0,15.0,1.0,1.0,1,1
1750,1,1,111.0,3.0,2.0,0,1,19,36.6908166,-4.4420067,0,0,16.0,3.0,1.0,1,1
1025,1,1,58.0,3.0,1.0,0,1,47,36.7012665,-4.4499905,0,0,18.0,0.0,1.0,0,0
875,2,1,30.0,0.0,1.0,0,2,4,36.7230984,-4.4208284,0,0,29.0,4.0,1.0,0,0
1500,1,1,112.0,2.0,2.0,0,4,55,36.7296573,-4.4633976,0,0,13.0,3.0,1.0,1,1
1480,1,1,75.0,2.0,2.0,0,1,54,36.6828109,-4.4545254,0,0,20.0,2.0,1.0,1,1
1950,1,1,115.0,3.0,2.0,0,2,14,36.7143488,-4.4232021,0,0,17.0,1.0,1.0,0,0
3850,1,1,70.0,2.0,2.0,0,5,11,36.7316216,-4.4251362,0,0,55.0,17.0,1.0,1,1
995,1,1,66.0,3.0,1.0,0,9,36,36.7449003,-4.4254102,0,0,15.0,3.0,0.0,0,0
1199,1,1,45.0,1.0,1.0,0,2,4,36.7205144,-4.4223534,0,0,27.0,4.0,1.0,0,0
1400,1,1,84.0,3.0,2.0,0,7,35,36.7249457,-4.4450493,0,0,17.0,10.0,1.0,0,0
1050,1,1,80.0,3.0,1.0,0,1,47,36.7000592,-4.4517701,0,0,13.0,1.0,1.0,0,0
2400,1,1,180.0,3.0,2.0,0,3,20,36.715335,-4.439626,0,0,13.0,13.0,1.0,1,1
