price,propertyType,operation,size,rooms,bathrooms,municipality,district,neighborhood,latitude,longitude,status,newDevelopment,priceByArea,floor,hasLift,hasParkingSpace,isParkingSpaceIncludedInPrice
1065000,chalet,sale,181.0,6.0,2.0,Málaga,Este,Pedregalejo - Morlaco,36.7245914,-4.371706,good,False,5884.0,0.0,0.0,True,True
526000,flat,sale,145.0,5.0,2.0,Málaga,Centro,Ensanche Centro - Soho,36.7117476,-4.425652,renew,False,3628.0,6.0,1.0,False,False
690000,flat,sale,236.0,4.0,2.0,Málaga,Teatinos,El Consul - El Romeral,36.7271383,-4.4851191,good,False,2924.0,1.0,1.0,True,True
345000,flat,sale,54.0,2.0,1.0,Málaga,Centro,La Goleta - San Felipe Neri,36.7257192,-4.4239796,good,False,6389.0,2.0,0.0,False,False
449000,flat,sale,84.0,2.0,2.0,Málaga,Centro,La Merced,36.7263135,-4.4195323,good,False,5345.0,1.0,1.0,True,False
780000,chalet,sale,184.0,5.0,3.0,Málaga,Este,Limonar,36.7244378,-4.4017057,good,False,4239.0,0.0,0.0,True,True
390000,chalet,sale,175.0,3.0,2.0,Málaga,Carretera de Cádiz,Huelin,36.7047936,-4.4400262,good,False,2229.0,0.0,0.0,False,False
195000,flat,sale,106.0,3.0,2.0,Málaga,Bailén - Miraflores,San Alberto - La Alcubilla - Florisol,36.7294989,-4.4493492,good,False,1840.0,1.0,1.0,False,False
165000,flat,sale,80.0,2.0,1.0,Málaga,Bailén - Miraflores,San Alberto - La Alcubilla - Florisol,36.731472,-4.4506116,good,False,2063.0,0.0,1.0,False,False
550000,flat,sale,140.0,4.0,2.0,Málaga,Centro,Centro Histórico,36.7193644,-4.4259831,renew,False,3929.0,4.0,1.0,False,False
690000,flat,sale,130.0,3.0,2.0,Málaga,Este,Malagueta - Monte Sancha,36.7186415,-4.4114562,renew,False,5308.0,9.0,1.0,False,False
1140000,flat,sale,128.0,3.0,2.0,Málaga,Carretera de Cádiz,Pacífico,36.6927148,-4.4390056,good,False,8906.0,6.0,1.0,False,False
880000,chalet,sale,295.0,5.0,2.0,Málaga,Centro,Gibralfaro,36.7242168,-4.4069744,renew,False,2983.0,0.0,0.0,True,True
825000,flat,sale,124.0,2.0,2.0,Málaga,Este,Malagueta - Monte Sancha,36.7209656,-4.409758,good,False,6653.0,9.0,1.0,False,False
390000,flat,sale,155.0,3.0,2.0,Málaga,Cruz de Humilladero,Carranque - Haza Cuevas,36.7163467,-4.439789,good,False,2516.0,5.0,1.0,True,True
999000,flat,sale,105.0,3.0,1.0,Málaga,Centro,Centro Histórico,36.7211486,-4.4188128,good,False,9514.0,3.0,1.0,False,False
220000,flat,sale,48.0,1.0,1.0,Málaga,Centro,Perchel norte,36.7177848,-4.4313833,good,False,4583.0,0.0,1.0,False,False
589000,penthouse,sale,131.0,3.0,2.0,Málaga,Centro,La Victoria,36.7286086,-4.4146778,good,False,4496.0,2.0,0.0,False,False
695000,flat,sale,180.0,5.0,2.0,Málaga,Centro,Gibralfaro,36.7273111,-4.4125385,good,False,3861.0,7.0,1.0,False,False
830000,chalet,sale,310.0,4.0,2.0,Málaga,Centro,Olletas - Sierra Blanquilla,36.741856,-4.4117787,good,False,2677.0,0.0,0.0,True,True
215000,flat,sale,62.0,2.0,1.0,Málaga,Bailén - Miraflores,Suárez,36.7280091,-4.4410106,good,False,3468.0,1.0,1.0,False,False
1700000,flat,sale,279.0,5.0,4.0,Málaga,Este,Malagueta - Monte Sancha,36.7192493,-4.4078989,renew,False,6093.0,10.0,1.0,True,True
670000,flat,sale,84.0,1.0,2.0,Málaga,Carretera de Cádiz,Pacífico,36.6872198,-4.4457152,good,False,7976.0,7.0,1.0,True,True
