price,propertyType,operation,size,rooms,bathrooms,municipality,district,neighborhood,latitude,longitude,status,newDevelopment,priceByArea,detailedType,floor,hasLift,hasParkingSpace,isParkingSpaceIncludedInPrice
450000,flat,sale,68.0,2.0,1.0,Marbella,San Pedro de Alcántara,Linda Vista-Nueva Alcántara-Cortijo Blanco,36.4838258,-4.9782863,good,False,6618.0,flat,1.0,0,True,True
545000,flat,sale,117.0,3.0,2.0,Fuengirola,El Higuerón,El Higuerón,36.58206,-4.60132,newdevelopment,True,4658.0,flat,1.0,1,True,True
945000,flat,sale,150.0,3.0,2.0,Fuengirola,El Higuerón,El Higuerón,36.58206,-4.60132,newdevelopment,True,6300.0,flat,2.0,1,True,True
174000,duplex,sale,80.0,2.0,2.0,Manilva,Chullera,Alcorrín,36.3386523,-5.2519769,good,False,2175.0,duplex,2.0,0,False,False
750000,flat,sale,115.0,2.0,2.0,Fuengirola,El Higuerón,El Higuerón,36.58206,-4.60132,newdevelopment,True,6522.0,flat,2.0,1,True,True
545000,flat,sale,117.0,3.0,2.0,Fuengirola,El Higuerón,El Higuerón,36.58206,-4.60132,newdevelopment,True,4658.0,flat,1.0,1,True,True
225000,flat,sale,98.0,2.0,2.0,Torrox,Torrox Pueblo,Torrox Pueblo,36.7560776,-3.9394188,newdevelopment,True,2296.0,flat,1.0,1,True,True
579000,chalet,sale,113.0,3.0,2.0,Mijas,Sitio de Calahonda,Sitio de Calahonda,36.4931819,-4.7101638,good,False,5124.0,independantHouse,0.0,0,True,True
398000,flat,sale,120.0,3.0,2.0,Casares,Casares Golf - Casares del Sol,Casares Costa,36.39586,-5.21203,newdevelopment,True,3317.0,flat,1.0,1,True,True
1289000,flat,sale,212.0,3.0,2.0,Fuengirola,El Higuerón,Carvajal,36.5754652,-4.5923588,good,False,6080.0,flat,4.0,0,True,True
279000,flat,sale,125.0,3.0,2.0,Mijas,Las Lagunas,Los Árboles,36.5450451,-4.6346777,good,False,2232.0,flat,9.0,1,False,False
325000,flat,sale,82.0,2.0,2.0,Casares,Casares Golf - Casares del Sol,Casares Costa,36.39586,-5.21203,newdevelopment,True,3963.0,flat,0.0,1,True,True
465000,flat,sale,101.0,2.0,2.0,Estepona,Estepona Pueblo,Parque Central,36.4268924,-5.1527745,newdevelopment,True,4604.0,flat,5.0,1,False,False
1300000,chalet,sale,253.0,3.0,2.0,Rincón de la Victoria,Cotomar - Urbanizaciones,Las Zorreras,36.717203,-4.2701673,good,False,5138.0,independantHouse,0.0,0,True,True
850000,penthouse,sale,144.0,2.0,2.0,Estepona,Estepona Pueblo,Parque Central,36.4268924,-5.1527745,newdevelopment,True,5903.0,penthouse,7.0,1,False,False
435000,penthouse,sale,115.0,3.0,2.0,Mijas,Campo de Mijas,Campo de Mijas,36.5596867,-4.6325140000000005,good,False,3783.0,penthouse,3.0,0,True,True
340000,flat,sale,111.0,2.0,2.0,Benalmádena,Torrequebrada,Nueva Torrequebrada,36.5894511,-4.5583428,good,False,3063.0,flat,1.0,0,True,True
1540000,chalet,sale,570.0,6.0,3.0,Marbella,Marbella Pueblo,Valdeolletas-Las Cancelas-Xarblanca,36.5180004,-4.9037387,good,False,2702.0,independantHouse,0.0,0,True,True
307850,flat,sale,102.0,2.0,2.0,Manilva,Chullera,La Paloma de Manilva,36.3237174,-5.254015,newdevelopment,True,3018.0,flat,1.0,1,True,True
580000,chalet,sale,231.0,4.0,4.0,Mijas,Mijas Pueblo,Mijas Pueblo,36.5762586,-4.6346972,newdevelopment,True,2511.0,independantHouse,0.0,0,True,True
362500,flat,sale,90.0,1.0,1.0,Torremolinos,Centro,Manantiales - Estación de Autobuses,36.6219817,-4.4999287,newdevelopment,True,4028.0,flat,0.0,1,True,True
919000,flat,sale,122.0,2.0,2.0,Fuengirola,El Higuerón,El Higuerón,36.5736975,-4.5943125,newdevelopment,True,7533.0,flat,1.0,1,True,True
314599,flat,sale,102.0,2.0,2.0,Manilva,Chullera,La Paloma de Manilva,36.3237174,-5.254015,newdevelopment,True,3084.0,flat,1.0,1,True,True
317500,flat,sale,86.0,1.0,1.0,Torremolinos,Centro,Manantiales - Estación de Autobuses,36.6219817,-4.4999287,newdevelopment,True,3692.0,flat,0.0,1,True,True
336000,flat,sale,90.0,1.0,1.0,Torremolinos,Centro,Manantiales - Estación de Autobuses,36.6219817,-4.4999287,newdevelopment,True,3733.0,flat,0.0,1,True,True
585000,chalet,sale,229.0,4.0,4.0,Mijas,Mijas Pueblo,Mijas Pueblo,36.5762586,-4.6346972,newdevelopment,True,2555.0,independantHouse,0.0,0,True,True
2365000,chalet,sale,417.0,4.0,4.0,Marbella,Nueva Andalucía,Los Naranjos,36.5182993,-4.9705779,good,False,5671.0,independantHouse,0.0,0,True,True
830000,flat,sale,134.0,2.0,2.0,Fuengirola,El Higuerón,El Higuerón,36.5736975,-4.5943125,newdevelopment,True,6194.0,flat,0.0,1,True,True
265000,flat,sale,75.0,2.0,1.0,Fuengirola,Centro Ciudad,Centro Ciudad,36.5451837,-4.6301771,good,False,3533.0,flat,4.0,0,True,True
338794,flat,sale,102.0,3.0,2.0,Manilva,Chullera,La Paloma de Manilva,36.3237174,-5.254015,newdevelopment,True,3322.0,flat,1.0,1,True,True
990000,flat,sale,200.0,3.0,3.0,Fuengirola,El Higuerón,El Higuerón,36.5736975,-4.5943125,newdevelopment,True,4950.0,flat,0.0,1,True,True
293000,flat,sale,258.0,2.0,2.0,Torrox,Torrox Pueblo,Torrox Pueblo,36.7560776,-3.9394188,newdevelopment,True,1136.0,flat,0.0,1,True,True
526000,flat,sale,113.0,3.0,2.0,Estepona,Punta Plata,Los Llanos,36.436995,-5.1101029,newdevelopment,True,4655.0,flat,1.0,1,True,True
710000,chalet,sale,302.0,3.0,3.0,Fuengirola,Torreblanca,Torreblanca,36.5722226,-4.6007957,newdevelopment,True,2351.0,semidetachedHouse,0.0,0,True,True
1950000,duplex,sale,216.0,3.0,3.0,Benahavís,La Quinta,Altos de la Quinta II,36.520387,-5.0002487,newdevelopment,True,9028.0,duplex,0.0,1,True,True
894000,penthouse,sale,148.0,4.0,2.0,Estepona,Punta Plata,Los Llanos,36.436995,-5.1101029,newdevelopment,True,6041.0,penthouse,2.0,1,True,True
268000,penthouse,sale,129.0,2.0,2.0,Torrox,Torrox Pueblo,Torrox Pueblo,36.7560776,-3.9394188,newdevelopment,True,2078.0,penthouse,3.0,1,True,True
234000,penthouse,sale,125.0,3.0,3.0,Manilva,Chullera,Martagina,36.336221,-5.2481408,good,False,1872.0,penthouse,3.0,0,False,False
600000,chalet,sale,293.0,3.0,3.0,Fuengirola,Torreblanca,Torreblanca,36.5722226,-4.6007957,newdevelopment,True,2048.0,terracedHouse,0.0,0,True,True
427000,flat,sale,91.0,2.0,2.0,Estepona,Punta Plata,Los Llanos,36.436995,-5.1101029,newdevelopment,True,4692.0,flat,1.0,1,True,True
