propertyCode,price,priceInfo,propertyType,operation,size,rooms,bathrooms,province,municipality,district,country,neighborhood,latitude,longitude,status,newDevelopment,priceByArea,floor,hasLift,hasParkingSpace
103704242,999000,€,flat,sale,105.0,3.0,1.0,Málaga,Málaga,Centro,es,Centro Histórico,36.7211486,-4.4188128,good,False,9514.0,3,1.0,False
107914671,2500000,€,chalet,sale,510.0,5.0,4.0,Málaga,Málaga,Este,es,Cerrado de Calderón - Hacienda Paredes,36.7274769,-4.3867176,good,False,4902.0,0,0.0,True
107631861,220000,€,flat,sale,48.0,1.0,1.0,Málaga,Málaga,Centro,es,Perchel norte,36.7177848,-4.4313833,good,False,4583.0,bj,1.0,False
107965453,2100000,€,chalet,sale,422.0,5.0,4.0,Málaga,Málaga,Este,es,Cerrado de Calderón - Hacienda Paredes,36.7296572,-4.3850529,good,False,4976.0,0,0.0,True
107800974,589000,€,penthouse,sale,131.0,3.0,2.0,Málaga,Málaga,Centro,es,La Victoria,36.7286086,-4.4146778,good,False,4496.0,2,0.0,False
106266642,695000,€,flat,sale,180.0,5.0,2.0,Málaga,Málaga,Centro,es,Gibralfaro,36.7273111,-4.4125385,good,False,3861.0,7,1.0,False
98630161,830000,€,chalet,sale,310.0,4.0,2.0,Málaga,Málaga,Centro,es,Olletas - Sierra Blanquilla,36.741856,-4.4117787,good,False,2677.0,0,0.0,True
107313109,215000,€,flat,sale,62.0,2.0,1.0,Málaga,Málaga,Bailén - Miraflores,es,Suárez,36.7280091,-4.4410106,good,False,3468.0,1,1.0,False
106488277,1700000,€,flat,sale,279.0,5.0,4.0,Málaga,Málaga,Este,es,Malagueta - Monte Sancha,36.7192493,-4.4078989,renew,False,6093.0,10,1.0,True
106626214,670000,€,flat,sale,84.0,1.0,2.0,Málaga,Málaga,Carretera de Cádiz,es,Pacífico,36.6872198,-4.4457152,good,False,7976.0,7,1.0,True
107877614,312000,€,flat,sale,88.0,3.0,2.0,Málaga,Málaga,Bailén - Miraflores,es,Los Castillejos - La Trinidad,36.7247278,-4.4341112,good,False,3545.0,2,1.0,True
107879961,1700000,€,chalet,sale,440.0,5.0,4.0,Málaga,Málaga,Este,es,Cerrado de Calderón - Hacienda Paredes,36.7259785,-4.3827008,good,False,3864.0,0,0.0,True
106792950,1150000,€,flat,sale,195.0,4.0,2.0,Málaga,Málaga,Este,es,Pedregalejo - Morlaco,36.7235312,-4.3810976,good,False,5897.0,1,1.0,True
106225712,1320000,€,chalet,sale,350.0,6.0,4.0,Málaga,Málaga,Este,es,El Palo,36.7274842,-4.351947,good,False,3771.0,0,0.0,True
107556881,615000,€,flat,sale,89.0,2.0,2.0,Málaga,Málaga,Este,es,Limonar,36.7302888,-4.400661,good,False,6910.0,1,1.0,True
106709265,3300000,€,flat,sale,259.0,4.0,4.0,Málaga,Málaga,Carretera de Cádiz,es,Pacífico,36.6853928,-4.4480689,good,False,12741.0,18,1.0,True
107591328,550000,€,flat,sale,147.0,3.0,2.0,Málaga,Málaga,Centro,es,Perchel norte,36.7184898,-4.4341705,renew,False,3741.0,7,1.0,False
106283438,369000,€,flat,sale,117.0,3.0,1.0,Málaga,Málaga,Centro,es,La Goleta - San Felipe Neri,36.7266174,-4.4229146,good,False,3154.0,4,1.0,True
107738626,159000,€,flat,sale,48.0,2.0,1.0,Málaga,Málaga,Cruz de Humilladero,es,Carranque - Haza Cuevas,36.7159726,-4.4453412,good,False,3313.0,1,0.0,False
107516877,345000,€,flat,sale,84.0,2.0,1.0,Málaga,Málaga,Centro,es,Centro Histórico,36.7229139,-4.4201835,good,False,4107.0,bj,0.0,False
107866436,890000,€,chalet,sale,361.0,7.0,2.0,Málaga,Málaga,Este,es,El Candado,36.7193509,-4.3466905,renew,False,2465.0,0,0.0,True
107665249,1550000,€,flat,sale,176.0,2.0,2.0,Málaga,Málaga,Carretera de Cádiz,es,Pacífico,36.6851392,-4.4462154,newdevelopment,True,8807.0,5,1.0,True
106094039,3950000,€,flat,sale,445.0,4.0,5.0,Málaga,Málaga,Carretera de Cádiz,es,Pacífico,36.6851392,-4.4462154,unknown,True,8876.0,17,1.0,True
107825520,629000,€,flat,sale,147.0,4.0,2.0,Málaga,Málaga,Centro,es,Perchel sur - El Bulto,36.7153694,-4.4271629,good,False,4279.0,2,1.0,True
106491760,1049000,€,chalet,sale,300.0,4.0,4.0,Málaga,Málaga,Este,es,Pedregalejo - Morlaco,36.720841,-4.3686826,good,False,3497.0,0,0.0,True
107665386,330000,€,chalet,sale,156.0,3.0,1.0,Málaga,Málaga,Martiricos - La Roca,es,Martiricos - La Roca,36.7298561,-4.4359127,good,False,2115.0,0,0.0,False
107232581,480000,€,flat,sale,115.0,4.0,2.0,Málaga,Málaga,Centro,es,Perchel norte,36.7179557,-4.4283594,good,False,4174.0,4,1.0,False
105375134,886000,€,chalet,sale,461.0,5.0,3.0,Málaga,Málaga,Churriana,es,Guadalmar,36.6657624,-4.4610986,renew,False,1922.0,0,0.0,True
108089442,129950,€,studio,sale,37.0,0.0,1.0,Málaga,Málaga,Bailén - Miraflores,es,Los Castillejos - La Trinidad,36.7253737,-4.4331624,good,False,3512.0,bj,0.0,False
108089911,429950,€,flat,sale,108.0,3.0,2.0,Málaga,Málaga,Puerto de la Torre,es,Puertosol - Santa Isabel,36.739261,-4.4931136,good,False,3981.0,2,1.0,True
106198463,800000,€,flat,sale,269.0,5.0,3.0,Málaga,Málaga,Este,es,Limonar,36.7216594,-4.3914349,renew,False,2974.0,1,1.0,True
106990400,289000,€,flat,sale,90.0,2.0,2.0,Málaga,Málaga,Centro,es,El Molinillo - Capuchinos,36.7319633,-4.4237267,good,False,3211.0,1,1.0,False
107243510,204000,€,flat,sale,49.0,2.0,1.0,Málaga,Málaga,Bailén - Miraflores,es,Suárez,36.7264301,-4.4418522,good,False,4163.0,5,1.0,False
107875648,180000,€,flat,sale,83.0,3.0,1.0,Málaga,Málaga,Centro,es,Conde de Ureña,36.7299537,-4.4110862,good,False,2169.0,4,0.0,False
105302023,466000,€,flat,sale,61.0,1.0,1.0,Málaga,Málaga,Carretera de Cádiz,es,Pacífico,36.681168,-4.4505815,newdevelopment,True,7639.0,bj,1.0,True
107791606,214600,€,duplex,sale,68.0,2.0,2.0,Málaga,Málaga,Centro,es,La Trinidad,36.7230571,-4.4306824,good,False,3156.0,1,1.0,False
106340348,2236000,€,flat,sale,316.0,4.0,4.0,Málaga,Málaga,Carretera de Cádiz,es,Pacífico,36.6849443,-4.4465818,unknown,True,7076.0,16,1.0,False
106340356,2405000,€,flat,sale,325.0,4.0,4.0,Málaga,Málaga,Carretera de Cádiz,es,Pacífico,36.6849443,-4.4465818,newdevelopment,True,7400.0,17,1.0,False
107398106,311000,€,flat,sale,92.0,2.0,2.0,Málaga,Málaga,Cruz de Humilladero,es,Polígonos - Recinto Ferial,36.70739,-4.4876877,newdevelopment,True,3380.0,2,1.0,True
107722442,4408000,€,flat,sale,625.0,4.0,5.0,Málaga,Málaga,Carretera de Cádiz,es,Pacífico,36.6849443,-4.4465818,newdevelopment,True,7053.0,20,1.0,False
107359074,347000,€,flat,sale,92.0,2.0,2.0,Málaga,Málaga,Cruz de Humilladero,es,Polígonos - Recinto Ferial,36.70739,-4.4876877,newdevelopment,True,3772.0,4,1.0,True
107398103,333000,€,flat,sale,119.0,3.0,2.0,Málaga,Málaga,Cruz de Humilladero,es,Polígonos - Recinto Ferial,36.70739,-4.4876877,newdevelopment,True,2798.0,0,1.0,True
108064201,495000,€,flat,sale,80.0,2.0,2.0,Málaga,Málaga,Centro,es,La Goleta - San Felipe Neri,36.724048,-4.4254243,good,False,6188.0,4,1.0,True
