latitude,longitude,district,district,neighborhood,neighborhood
36.6657624,-4.4610986,Churriana,CHURRIANA,Guadalmar,GUADALMAR                     
36.7253737,-4.4331624,Bailén - Miraflores,BAILEN-MIRAFLORES,Los Castillejos - La Trinidad,LA TRINIDAD                   
36.739261,-4.4931136,Puerto de la Torre,PUERTO DE LA TORRE,Puertosol - Santa Isabel,PUERTOSOL                     
36.7216594,-4.3914349,Este,,Limonar,
36.7319633,-4.4237267,Centro,CENTRO,El Molinillo - Capuchinos,SEGALERVA                     
36.7264301,-4.4418522,Bailén - Miraflores,BAILEN-MIRAFLORES,Suárez,SUAREZ                        
36.7299537,-4.4110862,Centro,CENTRO,Conde de Ureña,CONDE DE UREÑA                
36.681168,-4.4505815,Carretera de Cádiz,CARRETERA DE CADIZ,Pacífico,IND LA TERMICA                
36.7230571,-4.4306824,Centro,CENTRO,La Trinidad,LA TRINIDAD                   
36.6849443,-4.4465818,Carretera de Cádiz,CARRETERA DE CADIZ,Pacífico,TORRE DEL RIO                 
36.6849443,-4.4465818,Carretera de Cádiz,CARRETERA DE CADIZ,Pacífico,TORRE DEL RIO                 
36.70739,-4.4876877,Cruz de Humilladero,CRUZ DE HUMILLADERO,Polígonos - Recinto Ferial,INTELHORCE                    
36.6849443,-4.4465818,Carretera de Cádiz,CARRETERA DE CADIZ,Pacífico,TORRE DEL RIO                 
36.70739,-4.4876877,Cruz de Humilladero,CRUZ DE HUMILLADERO,Polígonos - Recinto Ferial,INTELHORCE                    
36.70739,-4.4876877,Cruz de Humilladero,CRUZ DE HUMILLADERO,Polígonos - Recinto Ferial,INTELHORCE                    
36.724048,-4.4254243,Centro,CENTRO,La Goleta - San Felipe Neri,LA GOLETA                     
36.7196987,-4.4083659,Este,CENTRO,Malagueta - Monte Sancha,LA MALAGUETA                  
36.7196987,-4.4083659,Este,CENTRO,Malagueta - Monte Sancha,LA MALAGUETA                  
36.7287765,-4.416325,Centro,CENTRO,Cristo de la Epidemia,EL EJIDO                      
36.6950348,-4.453209,Carretera de Cádiz,CARRETERA DE CADIZ,La Luz,LOS GIRASOLES                 
36.7231678,-4.4278515,Centro,CENTRO,La Trinidad,LA TRINIDAD                   
36.7273684,-4.3530876,Este,ESTE,El Palo,MIRAFLORES DEL PALO           
36.681168,-4.4505815,Carretera de Cádiz,CARRETERA DE CADIZ,Pacífico,IND LA TERMICA                
36.6816188,-4.4477968,Carretera de Cádiz,CARRETERA DE CADIZ,Pacífico,IND LA TERMICA                
36.7284065,-4.4298531,Centro,PALMA-PALMILLA,La Trinidad,ARROYO DE LOS ANGELES         
36.7156338,-4.4226543,Centro,CENTRO,Ensanche Centro - Soho,ENSANCHE CENTRO               
36.7290998,-4.4153362,Centro,CENTRO,Cristo de la Epidemia,CRISTO DE LA EPIDEMIA         
36.7110328,-4.4309435,Centro,CARRETERA DE CADIZ,Perchel sur - El Bulto,PARQUE AYALA                  
36.729194,-4.4201779,Centro,CENTRO,El Molinillo - Capuchinos,EL EJIDO                      
36.7305795,-4.4147654,Centro,CENTRO,Cristo de la Epidemia,CRISTO DE LA EPIDEMIA         
36.7238713,-4.4415342,Bailén - Miraflores,BAILEN-MIRAFLORES,La Florida - Parque norte,NUEVA MALAGA                  
36.7318662,-4.4119327,Centro,CENTRO,Conde de Ureña,SEMINARIO                     
36.7418629,-4.4236269,Ciudad Jardín,CIUDAD JARDIN ,Ciudad Jardín,HERRERA ORIA                  
36.7108451,-4.4541232,Cruz de Humilladero,CRUZ DE HUMILLADERO,Santa Cristina - San Rafael,TIRO DE PICHON                
36.7268764,-4.4246148,Centro,CENTRO,La Goleta - San Felipe Neri,LA GOLETA                     
36.7262109,-4.437018,Bailén - Miraflores,BAILEN-MIRAFLORES,Suárez,HAZA DEL CAMPILLO             
36.7199032,-4.4070999,Este,CENTRO,Malagueta - Monte Sancha,LA CALETA                     
36.7228901,-4.4302347,Centro,CENTRO,La Trinidad,LA TRINIDAD                   
36.7318428,-4.378884,Este,ESTE,Cerrado de Calderón - Hacienda Paredes,CERRADO DE CALDERON           
36.7116776,-4.4359107,Cruz de Humilladero,CRUZ DE HUMILLADERO,Cruz del Humilladero - Los Tilos,LA UNION                      
36.6910515,-4.4550303,Carretera de Cádiz,CARRETERA DE CADIZ,Puerta Blanca - Almudena,PUERTA BLANCA                 
36.7263349,-4.3877513,Este,ESTE,Parque Clavero,PARQUE CLAVERO                
36.7303562,-4.3860641,Este,ESTE,Cerrado de Calderón - Hacienda Paredes,CERRADO DE CALDERON           
36.7378573,-4.3582572,Este,ESTE,Pinares de San Antón,PINARES DE SAN ANTÓN
36.7267306,-4.4435792,Bailén - Miraflores,BAILEN-MIRAFLORES,Suárez,LOS CASTILLEJOS               
36.73697,-4.39279,Este,ESTE,Limonar,COLINAS DEL LIMONAR           
36.7194903,-4.4462273,Cruz de Humilladero,CRUZ DE HUMILLADERO,Carranque - Haza Cuevas,CARRANQUE                     
36.6933459,-4.451108,Carretera de Cádiz,CARRETERA DE CADIZ,La Luz,POL IND LOS GUINDOS           
36.7210987,-4.4476015,Cruz de Humilladero,CRUZ DE HUMILLADERO,Carranque - Haza Cuevas,CARRANQUE                     
36.7224715,-4.4700929,Teatinos,TEATINOS-UNIVERSIDAD,El Consul - El Romeral,FINCA LA PALMA                
36.7212062,-4.3475412,Este,ESTE,El Candado,EL CANDADO                    
36.7011645,-4.4473038,Carretera de Cádiz,CARRETERA DE CADIZ,El Torcal,EL TORCAL                     
36.7212523,-4.4350924,Cruz de Humilladero,CRUZ DE HUMILLADERO,Carranque - Haza Cuevas,MARMOLES                      
36.7279463,-4.4356882,Bailén - Miraflores,BAILEN-MIRAFLORES,Victoria Eugenia,LA BRESCA                     
36.732575,-4.4393639,Bailén - Miraflores,BAILEN-MIRAFLORES,Victoria Eugenia,PARQUE VICTORIA EUGENIA       
36.7194762,-4.4230834,Centro,CENTRO,Centro Histórico,CENTRO HISTORICO              
36.7157645,-4.4306234,Centro,CRUZ DE HUMILLADERO,Perchel sur - El Bulto,LA AURORA                     
36.7209197,-4.4218626,Centro,CENTRO,Centro Histórico,CENTRO HISTORICO              
36.7106065,-4.4340905,Centro,CRUZ DE HUMILLADERO,Perchel sur - El Bulto,R.E.N.F.E.                    
36.719676,-4.3541654,Este,ESTE,El Palo,EL PALO                       
36.7283925,-4.4139504,Centro,CENTRO,Cristo de la Epidemia,CRISTO DE LA EPIDEMIA         
36.6902275,-4.4420718,Carretera de Cádiz,CARRETERA DE CADIZ,Pacífico,SAN CARLOS                    
36.7182585,-4.4177937,Centro,CENTRO,Centro Histórico,ENSANCHE CENTRO               
36.6880804,-4.4562866,Carretera de Cádiz,CARRETERA DE CADIZ,Puerta Blanca - Almudena,MAINAKE                       
36.7299847,-4.3845032,Este,ESTE,Cerrado de Calderón - Hacienda Paredes,CERRADO DE CALDERON           
36.7169015,-4.3408416,Este,ESTE,El Candado,LA PLATERA                    
36.7320016,-4.3814996,Este,ESTE,Cerrado de Calderón - Hacienda Paredes,CERRADO DE CALDERON           
36.7194064,-4.40803,Este,CENTRO,Malagueta - Monte Sancha,LA MALAGUETA                  
36.7005568,-4.441566,Carretera de Cádiz,CARRETERA DE CADIZ,Girón - Las Delicias - Pacífico,25 AÑOS DE PAZ                
36.7213293,-4.4240061,Centro,CENTRO,Centro Histórico,CENTRO HISTORICO              
36.7293855,-4.4275794,Martiricos - La Roca,PALMA-PALMILLA,Martiricos - La Roca,MARTIRICOS                    
36.7259554,-4.4204964,Centro,CENTRO,El Ejido,LA MERCED                     
36.7266182,-4.3496089,Este,ESTE,El Palo,MIRAFLORES                    
36.7284451,-4.3699705,Este,ESTE,Pedregalejo - Morlaco,LA MOSCA                      
36.7160305,-4.4655567,Teatinos,TEATINOS-UNIVERSIDAD,El Tejar - Hacienda Bizcochero,HACIENDA BIZCOCHERO           
36.7238008,-4.4053531,Este,CENTRO,Malagueta - Monte Sancha,MONTE SANCHA                  
36.7193671,-4.4191132,Centro,CENTRO,Centro Histórico,CENTRO HISTORICO              
36.7268923,-4.4238964,Centro,CENTRO,El Molinillo - Capuchinos,EL MOLINILLO                  
36.7192415,-4.4070567,Este,CENTRO,Malagueta - Monte Sancha,LA CALETA                     
36.7168942,-4.4221979,Centro,CENTRO,Centro Histórico,ENSANCHE CENTRO               
36.7208553,-4.4250449,Centro,CENTRO,La Goleta - San Felipe Neri,CENTRO HISTORICO              
36.7307946,-4.3803359,Este,ESTE,Cerrado de Calderón - Hacienda Paredes,CERRADO DE CALDERON           
36.7166403,-4.4319438,Centro,CRUZ DE HUMILLADERO,Perchel sur - El Bulto,POL ALAMEDA                   
36.7203998,-4.4247725,Centro,CENTRO,Centro Histórico,CENTRO HISTORICO              
36.6836123,-4.4462693,Carretera de Cádiz,CARRETERA DE CADIZ,Pacífico,IND LA TERMICA                
36.722801,-4.4700583,Teatinos,TEATINOS-UNIVERSIDAD,El Consul - El Romeral,FINCA LA PALMA                
36.7202049,-4.4101662,Este,CENTRO,Malagueta - Monte Sancha,LA MALAGUETA                  
36.7245671,-4.4309865,Centro,CENTRO,La Trinidad,LA TRINIDAD                   
36.7276337,-4.4347557,Bailén - Miraflores,BAILEN-MIRAFLORES,Victoria Eugenia,LA TRINIDAD                   
36.7224627,-4.4287832,Centro,CENTRO,La Trinidad,LA TRINIDAD                   
36.7248187,-4.4301613,Centro,CENTRO,La Trinidad,LA TRINIDAD                   
36.7172928,-4.4078956,Este,,Malagueta - Monte Sancha,
36.7208709,-4.464302,Teatinos,TEATINOS-UNIVERSIDAD,El Tejar - Hacienda Bizcochero,LAS MORILLAS
36.7246286,-4.3709866,Este,ESTE,Pedregalejo - Morlaco,VALLE DE LOS GALANES          
36.7240328,-4.3713776,Este,ESTE,Pedregalejo - Morlaco,PEDREGALEJO                   
36.7224144,-4.39864,Este,ESTE,Limonar,LA CALETA                     
36.7209238,-4.4232074,Centro,CENTRO,Centro Histórico,CENTRO HISTORICO              
36.7215484,-4.4280959,Centro,CENTRO,Perchel norte,PERCHEL NORTE                 
36.7277426,-4.404627,Este,ESTE,Limonar,LOS PINOS                     
36.664988,-4.464379,Churriana,CHURRIANA,Guadalmar,GUADALMAR                     
36.7213084,-4.4129638,Este,CENTRO,Malagueta - Monte Sancha,CAMPOS ELISEOS                
36.7311928,-4.4267533,Martiricos - La Roca,PALMA-PALMILLA,Martiricos - La Roca,MARTIRICOS                    
36.7191505,-4.4224537,Centro,CENTRO,Centro Histórico,CENTRO HISTORICO              
36.7281497,-4.387983,Este,ESTE,Parque Clavero,HACIENDA CLAVERO              
36.7316153,-4.3586679,Este,ESTE,Pinares de San Antón,LOMAS DE SAN ANTON            
36.6851605,-4.4474651,Carretera de Cádiz,CARRETERA DE CADIZ,Pacífico,TORRE DEL RIO                 
36.7218239,-4.4223283,Centro,CENTRO,Centro Histórico,CENTRO HISTORICO              
36.7188304,-4.4061324,Este,,Malagueta - Monte Sancha,
36.7259956,-4.3794758,Este,ESTE,Pedregalejo - Morlaco,HACIENDA PAREDES              
36.719211,-4.419217,Centro,CENTRO,Centro Histórico,CENTRO HISTORICO              
36.7252307,-4.3932176,Este,ESTE,Limonar,PARQUE CLAVERO                
36.7206007,-4.4308411,Centro,CENTRO,Perchel norte,MARMOLES                      
36.7320048,-4.4168128,Centro,CENTRO,El Ejido,OLLETAS                       
36.7135999,-4.4279739,Centro,CENTRO,Perchel sur - El Bulto,PERCHEL SUR                   
36.7197604,-4.4618782,Teatinos,TEATINOS-UNIVERSIDAD,El Tejar - Hacienda Bizcochero,HACIENDA BIZCOCHERO           
36.7218393,-4.4514525,Cruz de Humilladero,CRUZ DE HUMILLADERO,Camino de Antequera,CAMINO DE ANTEQUERA           
36.7146405,-4.43318,Cruz de Humilladero,CRUZ DE HUMILLADERO,Cruz del Humilladero - Los Tilos,LA AURORA                     
36.7163322,-4.4146559,Este,CENTRO,Malagueta - Monte Sancha,PUERTO
36.720982,-4.413018,Este,CENTRO,Malagueta - Monte Sancha,ENSANCHE CENTRO               
36.7173017,-4.4126585,Este,CENTRO,Malagueta - Monte Sancha,PUERTO
36.7224258,-4.420163,Centro,CENTRO,Centro Histórico,CENTRO HISTORICO              
36.7288109,-4.436328,Bailén - Miraflores,BAILEN-MIRAFLORES,Victoria Eugenia,VICTORIA EUGENIA              
36.7290069,-4.4340798,Bailén - Miraflores,BAILEN-MIRAFLORES,Victoria Eugenia,LA TRINIDAD                   
36.6967443,-4.4426145,Carretera de Cádiz,CARRETERA DE CADIZ,Los Guindos - Parque Mediterráneo - Santa Paula,LAS DELICIAS                  
36.7236722,-4.3641554,Este,ESTE,El Palo,EL PALO                       
36.7193583,-4.42316,Centro,CENTRO,Centro Histórico,CENTRO HISTORICO              
36.7276816,-4.4131233,Centro,CENTRO,Cristo de la Epidemia,CRISTO DE LA EPIDEMIA         
36.7187072,-4.40854,Este,CENTRO,Malagueta - Monte Sancha,LA MALAGUETA                  
36.7224392,-4.4192733,Centro,CENTRO,Centro Histórico,CENTRO HISTORICO              
36.7194196,-4.4194395,Centro,CENTRO,Centro Histórico,CENTRO HISTORICO              
36.7229546,-4.4068738,Este,CENTRO,Malagueta - Monte Sancha,CAÑADA DE LOS INGLESES        
36.7150833,-4.436732,Cruz de Humilladero,CRUZ DE HUMILLADERO,Cruz del Humilladero - Los Tilos,LOS TILOS                     
36.7175677,-4.4102853,Este,CENTRO,Malagueta - Monte Sancha,LA MALAGUETA                  
36.7167886,-4.4119799,Este,CENTRO,Malagueta - Monte Sancha,LA MALAGUETA                  
36.7279232,-4.4251625,Centro,CENTRO,El Molinillo - Capuchinos,EL MOLINILLO                  
36.6981262,-4.4732867,Cruz de Humilladero,CRUZ DE HUMILLADERO,Polígonos - Recinto Ferial,LOS PRADOS                    
36.7295816,-4.4513815,Bailén - Miraflores,BAILEN-MIRAFLORES,San Alberto - La Alcubilla - Florisol,GRANJA SUAREZ                 
36.73559,-4.40132,Este,ESTE,Limonar,COLINAS DEL LIMONAR           
36.73559,-4.40132,Este,ESTE,Limonar,COLINAS DEL LIMONAR           
36.7237015,-4.3958534,Este,ESTE,Limonar,MIRAMAR                       
36.7297645,-4.3618624,Este,ESTE,Pinares de San Antón,PINARES DE SAN ANTÓN
36.7199633,-4.4063312,Este,CENTRO,Malagueta - Monte Sancha,LA CALETA                     
36.7251075,-4.4195955,Centro,CENTRO,La Merced,LA MERCED                     
36.7170891,-4.4230646,Centro,CENTRO,Centro Histórico,ENSANCHE CENTRO               
36.7201433,-4.4100261,Este,CENTRO,Malagueta - Monte Sancha,LA MALAGUETA                  
36.7274876,-4.400927,Este,ESTE,Limonar,LAS PALMERAS                  
36.7194998,-4.408857,Este,CENTRO,Malagueta - Monte Sancha,LA MALAGUETA                  
36.7188161,-4.4117265,Este,CENTRO,Malagueta - Monte Sancha,LA MALAGUETA                  
36.6979431,-4.4745515,Cruz de Humilladero,CRUZ DE HUMILLADERO,Polígonos - Recinto Ferial,LOS PRADOS                    
36.7102048,-4.433119,Centro,CARRETERA DE CADIZ,Perchel sur - El Bulto,PARQUE AYALA                  
36.7215484,-4.4280959,Centro,CENTRO,Perchel norte,PERCHEL NORTE                 
36.697231,-4.4492936,Carretera de Cádiz,CARRETERA DE CADIZ,Los Guindos - Parque Mediterráneo - Santa Paula,VISTAFRANCA                   
36.7194898,-4.4090694,Este,CENTRO,Malagueta - Monte Sancha,LA MALAGUETA                  
36.7243085,-4.4221124,Centro,CENTRO,Centro Histórico,LA GOLETA                     
36.725274,-4.4199924,Centro,CENTRO,El Ejido,LA MERCED                     
36.7244729,-4.4191266,Centro,CENTRO,La Merced,LA MERCED                     
36.73559,-4.40132,Este,ESTE,Limonar,COLINAS DEL LIMONAR           
36.7152436,-4.4262028,Centro,CENTRO,Perchel sur - El Bulto,PERCHEL SUR                   
36.7255483,-4.3988622,Este,ESTE,Limonar,EL LIMONAR                    
36.7237153,-4.4211467,Centro,CENTRO,Centro Histórico,CENTRO HISTORICO              
36.6681714,-4.4670786,Churriana,CHURRIANA,Guadalmar,GUADALMAR                     
36.6942335,-4.4421196,Carretera de Cádiz,CARRETERA DE CADIZ,Pacífico,SAN ANDRES                    
36.6855907,-4.4471917,Carretera de Cádiz,CARRETERA DE CADIZ,Pacífico,TORRE DEL RIO                 
36.730088,-4.4046019,Este,ESTE,Limonar,LOS PINOS                     
36.7232333,-4.4212624,Centro,CENTRO,Centro Histórico,CENTRO HISTORICO              
36.7216972,-4.4215243,Centro,CENTRO,Centro Histórico,CENTRO HISTORICO              
36.7239264,-4.3963692,Este,ESTE,Limonar,MIRAMAR                       
36.7201495,-4.4066061,Este,CENTRO,Malagueta - Monte Sancha,LA CALETA                     
36.7147763,-4.4116075,Este,,Malagueta - Monte Sancha,
36.7071875,-4.4840625,Cruz de Humilladero,CRUZ DE HUMILLADERO,Polígonos - Recinto Ferial,HACIENDA SANCHEZ BLANCA       
36.7469827,-4.4273661,Ciudad Jardín,PALMA-PALMILLA,Ciudad Jardín,LAS VIRREINAS                 
36.7284052,-4.3958244,Este,ESTE,Limonar,MIRAMAR                       
36.7152217,-4.4399045,Cruz de Humilladero,CRUZ DE HUMILLADERO,Carranque - Haza Cuevas,POL ALAMEDA                   
36.6947,-4.4409209,Carretera de Cádiz,CARRETERA DE CADIZ,Pacífico,PACIFICO                      
36.7258116,-4.402286,Este,ESTE,Limonar,LAS PALMERAS                  
36.6897276,-4.4429229,Carretera de Cádiz,CARRETERA DE CADIZ,Pacífico,SAN CARLOS                    
36.7297116,-4.4239955,Centro,CENTRO,El Molinillo - Capuchinos,EL MOLINILLO                  
36.7076605,-4.4883659,Cruz de Humilladero,CRUZ DE HUMILLADERO,Polígonos - Recinto Ferial,INTELHORCE                    
36.7270697,-4.4025553,Este,ESTE,Limonar,LA VAGUADA                    
36.7293684,-4.3811947,Este,ESTE,Cerrado de Calderón - Hacienda Paredes,CERRADO DE CALDERON           
36.7155511,-4.4376089,Cruz de Humilladero,CRUZ DE HUMILLADERO,Carranque - Haza Cuevas,POL ALAMEDA                   
36.7303553,-4.4268255,Martiricos - La Roca,PALMA-PALMILLA,Martiricos - La Roca,MARTIRICOS                    
36.7246212,-4.4011182,Este,CENTRO,Malagueta - Monte Sancha,MONTE SANCHA                  
36.6953858,-4.4413074,Carretera de Cádiz,CARRETERA DE CADIZ,Pacífico,AVE MARIA                     
36.7166205,-4.4283628,Centro,CENTRO,Perchel sur - El Bulto,PERCHEL SUR                   
36.7107125,-4.4406128,Cruz de Humilladero,CRUZ DE HUMILLADERO,Cruz del Humilladero - Los Tilos,SANTA MARTA                   
36.7256787,-4.3552446,Este,ESTE,El Palo,MIRAFLORES DEL PALO           
36.7131975,-4.4225132,Centro,CENTRO,Ensanche Centro - Soho,PUERTO
36.7200055,-4.4194601,Centro,CENTRO,Centro Histórico,CENTRO HISTORICO              
36.7221596,-4.406751,Este,CENTRO,Malagueta - Monte Sancha,CAÑADA DE LOS INGLESES        
36.7174036,-4.3496947,Este,ESTE,El Palo,EL CHANQUETE                  
36.6855495,-4.4478222,Carretera de Cádiz,CARRETERA DE CADIZ,Pacífico,TORRE DEL RIO                 
36.7168054,-4.3521864,Este,,El Palo,
36.7301686,-4.4061183,Este,CENTRO,Limonar,LA MANIA                      
36.7287545,-4.4272691,Martiricos - La Roca,PALMA-PALMILLA,Martiricos - La Roca,MARTIRICOS                    
36.7395089,-4.4162835,Ciudad Jardín,CIUDAD JARDIN ,Mangas Verdes - Las Flores,MONTE DORADO                  
36.7117729,-4.4423908,Cruz de Humilladero,CRUZ DE HUMILLADERO,Cruz del Humilladero - Los Tilos,SANTA JULIA                   
36.7058287,-4.4924173,Cruz de Humilladero,CRUZ DE HUMILLADERO,Polígonos - Recinto Ferial,INTELHORCE                    
36.7228316,-4.4289316,Centro,CENTRO,La Trinidad,LA TRINIDAD                   
36.7275129,-4.4377828,Bailén - Miraflores,BAILEN-MIRAFLORES,Suárez,SUAREZ                        
36.7230666,-4.4309023,Centro,CENTRO,La Trinidad,LA TRINIDAD                   
36.7284031,-4.4090803,Centro,CENTRO,Conde de Ureña,CONDE DE UREÑA                
36.729371,-4.4074389,Este,CENTRO,Limonar,LA MANIA                      
36.6965761,-4.4456045,Carretera de Cádiz,CARRETERA DE CADIZ,Los Guindos - Parque Mediterráneo - Santa Paula,PARQUE MEDITERRANEO           
36.6978201,-4.4539058,Carretera de Cádiz,CARRETERA DE CADIZ,La Luz,LA LUZ                        
36.7032191,-4.4491867,Carretera de Cádiz,CARRETERA DE CADIZ,Nuevo San Andrés - Dos Hermanas,DOS HERMANAS
36.7112296,-4.4321031,Centro,CRUZ DE HUMILLADERO,Perchel sur - El Bulto,R.E.N.F.E.                    
36.7280434,-4.4381704,Bailén - Miraflores,BAILEN-MIRAFLORES,Suárez,SUAREZ                        
36.7229388,-4.4302235,Centro,CENTRO,La Trinidad,LA TRINIDAD                   
36.7230571,-4.4306824,Centro,CENTRO,La Trinidad,LA TRINIDAD                   
36.6970569,-4.4524287,Carretera de Cádiz,CARRETERA DE CADIZ,Vistafranca,LA LUZ                        
36.7022953,-4.4375874,Carretera de Cádiz,CARRETERA DE CADIZ,Huelin,HUELIN                        
36.7429353,-4.4167983,Ciudad Jardín,CIUDAD JARDIN ,Mangas Verdes - Las Flores,MANGAS VERDES                 
36.7397426,-4.3806629,Este,ESTE,Cerrado de Calderón - Hacienda Paredes,CERRADO DE CALDERON           
